,analysis date,city,cityid,cloudiness,country,groupingid,humidity,lat,long,max temp,wind speed
0,2018-09-06 12:39:25,Qaanaaq,3831208,68,GL,1,100,-69.36,77.48,32.25,3.65
1,2018-09-06 12:39:26,Abu Samrah,172515,0,SY,1,74,37.18,35.3,71.58,10.25
2,2018-09-06 12:39:26,Vaini,1273574,100,IN,1,99,74.49,15.34,69.87,4.43
3,2018-09-06 12:39:27,Mnogovershinnyy,2019935,76,RU,1,85,139.92,53.94,51.24,4.76
4,2018-09-06 12:00:00,Doha,290030,0,QA,1,79,51.53,25.29,91.4,4.7
5,2018-09-06 12:39:28,Mar del Plata,3863379,36,AR,1,56,-67.52,-46.43,51.6,22.88
6,2018-09-06 12:00:00,Svetlogorsk,584051,8,RU,1,93,59.15,53.14,44.6,6.71
7,2018-09-06 12:39:30,Hermanus,3366880,92,ZA,1,100,19.24,-34.42,43.14,1.97
8,2018-09-06 12:00:00,Puerto Ayora,3652764,75,EC,1,61,-90.35,-0.74,80.6,8.05
9,2018-09-06 12:00:00,Tuktoyaktuk,6170031,90,CA,1,100,-133.03,69.44,37.4,13.87
10,2018-09-06 12:00:00,Vila Franca do Campo,3372472,20,PT,1,78,-25.43,37.72,71.6,5.82
11,2018-09-06 12:00:00,Cape Town,3369157,20,ZA,1,87,18.42,-33.93,44.6,2.24
12,2018-09-06 12:35:04,Sovetskaya Gavan,2121052,20,RU,1,95,140.29,48.97,57.09,5.99
13,2018-09-06 12:00:00,Flin Flon,5954718,40,CA,1,60,-101.88,54.77,55.4,9.17
14,2018-09-06 12:00:00,Punta Arenas,3874787,90,CL,1,81,-70.91,-53.16,42.8,12.75
15,2018-09-06 12:00:00,Gold Coast,2165087,75,AU,1,82,153.41,-28.0,62.6,6.93
16,2018-09-06 12:00:00,Lasa,146639,40,CY,1,74,32.53,34.92,80.6,10.29
17,2018-09-06 12:39:35,Tiksi,2015306,12,RU,1,100,128.87,71.64,27.84,6.78
18,2018-09-06 12:39:36,Taoudenni,2450173,100,ML,1,15,-3.98,22.68,97.41,6.33
19,2018-09-06 12:39:36,Ayorou,2447416,12,NE,1,61,0.92,14.73,83.37,3.42
20,2018-09-06 12:00:00,Georgetown,3378644,75,GY,1,88,-58.16,6.8,80.6,4.7
21,2018-09-06 12:00:00,Coquimbo,3893629,0,CL,1,77,-71.34,-29.95,59.0,11.41
22,2018-09-06 11:42:00,Mama,3523663,40,MX,1,66,-89.36,20.48,87.8,9.17
23,2018-09-06 12:00:00,Avarua,4035715,75,CK,1,61,-159.78,-21.21,78.8,12.75
24,2018-09-06 12:00:00,Katherine,2068655,0,AU,1,73,132.26,-14.47,73.4,3.36
25,2018-09-06 12:00:00,Hamilton,5969785,75,CA,1,61,-79.87,43.26,77.0,2.24
26,2018-09-06 12:39:41,Hithadhoo,1282256,88,MV,1,100,73.08,-0.6,81.21,13.71
27,2018-09-06 12:00:00,Tacna,3928128,20,PE,1,68,-70.25,-18.01,64.4,11.41
28,2018-09-06 12:00:00,Dzaoudzi,921900,0,YT,1,83,45.27,-12.79,73.4,6.93
29,2018-09-06 12:39:42,Port Alfred,964432,92,ZA,1,100,26.89,-33.59,51.69,9.35
30,2018-09-06 11:56:00,Hilo,5855927,75,US,1,76,-155.08,19.71,82.04,12.75
31,2018-09-06 12:39:43,Fare,4034496,88,PF,1,100,-151.02,-16.7,77.61,13.94
32,2018-09-06 12:39:44,Beloha,1067565,0,MG,1,41,45.06,-25.17,72.84,10.47
33,2018-09-06 12:39:44,Castro,3896218,80,CL,1,81,-73.76,-42.48,47.1,7.11
34,2018-09-06 12:39:45,Owando,2255542,88,CG,1,88,15.91,-0.49,76.44,2.42
35,2018-09-06 12:39:45,Kavieng,2094342,48,PG,1,100,150.8,-2.57,81.75,7.56
36,2018-09-06 12:39:46,Hirara,1862505,92,JP,1,100,125.28,24.8,82.92,14.72
37,2018-09-06 12:39:47,Kamina,214614,8,CD,1,68,25.0,-8.74,72.12,2.98
38,2018-09-06 12:39:47,Butaritari,2110227,24,KI,1,100,172.79,3.07,84.99,3.09
39,2018-09-06 12:00:00,Praia da Vitoria,3372760,40,PT,1,94,-27.07,38.73,69.8,11.48
40,2018-09-06 12:00:00,Yellowknife,6185377,20,CA,1,57,-114.38,62.45,50.0,16.11
41,2018-09-06 12:39:49,Obihiro,2128815,64,JP,1,86,143.2,42.92,62.58,3.31
42,2018-09-06 11:51:00,Safford,5312476,1,US,1,27,-109.71,32.83,91.04,8.05
43,2018-09-06 12:39:50,Ostrovnoy,556268,80,RU,1,97,39.51,68.05,45.66,3.42
44,2018-09-06 12:39:51,Kaitangata,2208248,12,NZ,1,84,169.85,-46.28,36.84,8.68
45,2018-09-06 12:39:51,Nanortalik,3421765,76,GL,1,99,-45.24,60.14,41.52,7.67
46,2018-09-06 12:39:52,Bandarbeyla,64814,0,SO,1,81,50.81,9.49,72.57,30.94
47,2018-09-06 12:39:52,Chuy,3443061,0,UY,1,74,-53.46,-33.69,66.99,8.01
48,2018-09-06 12:39:53,Zhoukou,1784130,68,CN,1,48,114.64,33.63,66.36,10.69
49,2018-09-06 12:39:53,Khatanga,2022572,88,RU,2,88,102.47,71.98,35.58,13.38
50,2018-09-06 12:00:00,Ushuaia,3833367,75,AR,2,56,-68.31,-54.81,44.6,11.41
51,2018-09-06 12:39:54,Cidreira,3466165,0,BR,2,78,-50.22,-30.17,64.38,6.22
52,2018-09-06 12:39:55,Vysokogornyy,2013216,48,RU,2,90,139.13,50.1,48.72,3.53
53,2018-09-06 12:39:55,Solnechnyy,2016307,0,RU,2,88,136.64,50.72,42.69,2.64
54,2018-09-06 12:39:56,Rikitea,4030556,92,PF,2,100,-134.97,-23.12,73.11,27.25
55,2018-09-06 12:39:56,Miandrivazo,1059051,12,MG,2,68,45.46,-19.53,65.37,3.98
56,2018-09-06 11:56:00,Kapaa,5848280,40,US,2,76,-159.32,22.08,84.02,16.11
57,2018-09-06 12:00:00,Nipawin,6088469,1,CA,2,30,-104.02,53.36,59.0,9.17
58,2018-09-06 12:28:00,Norman,4543762,75,US,2,84,-97.44,35.22,85.46,6.93
59,2018-09-06 12:39:58,Terney,2015352,88,RU,2,95,136.61,45.05,62.67,13.6
60,2018-09-06 12:39:59,Busselton,2075265,32,AU,2,100,115.35,-33.64,58.44,21.65
61,2018-09-06 12:00:00,Bethel,5880568,90,US,2,96,-161.76,60.79,50.0,4.7
62,2018-09-06 12:40:00,Saskylakh,2017155,92,RU,2,90,114.09,71.97,33.96,18.97
63,2018-09-06 11:50:00,Sola,3137942,75,NO,2,93,5.65,58.89,57.2,2.24
64,2018-09-06 12:11:00,Albany,5106834,75,US,2,79,-73.75,42.65,78.08,9.17
65,2018-09-06 11:53:00,Moses Lake,5803990,1,US,2,2,-119.28,47.13,87.08,2.08
66,2018-09-06 12:40:03,Atuona,4020109,44,PF,2,100,-139.03,-9.8,79.41,17.29
67,2018-09-06 12:00:00,Souillac,3026644,90,FR,2,77,-0.6,45.6,68.0,3.36
68,2018-09-06 12:40:04,Tura,1254046,24,IN,2,93,90.21,25.52,75.9,2.64
69,2018-09-06 12:40:05,Khasan,2039557,76,RU,2,100,130.64,42.43,62.49,11.14
70,2018-09-06 12:00:00,Bredasdorp,1015776,92,ZA,2,87,20.04,-34.53,48.2,4.7
71,2018-09-06 12:00:00,Bathsheba,3374083,20,BB,2,74,-59.52,13.22,84.2,12.75
