,analysis date,city,cityid,cloudiness,country,groupingid,humidity,lat,long,max temp,wind speed
0,2018-09-06 06:30:05,Samarai,2132606,92,PG,1,100,150.67,-10.62,77.43,18.05
1,2018-09-06 05:40:00,Acapulco,3533462,75,MX,1,69,-99.88,16.86,82.4,2.24
2,2018-09-06 06:00:00,Cukai,1732945,20,MY,1,88,103.42,4.25,78.8,10.29
3,2018-09-06 05:00:00,Nouadhibou,2377457,12,MR,1,45,-17.03,20.93,87.8,8.05
4,2018-09-06 06:00:00,Hobart,2163355,75,AU,1,81,147.33,-42.88,50.0,5.82
5,2018-09-06 06:00:00,Punta Arenas,3874787,90,CL,1,93,-70.91,-53.16,42.8,9.17
6,2018-09-06 06:30:12,Porto Walter,3662761,0,BR,1,49,-72.74,-8.27,84.72,2.95
7,2018-09-06 06:30:12,Hermanus,3366880,92,ZA,1,86,19.24,-34.42,47.55,3.4
8,2018-09-06 06:30:13,Mataura,6201424,0,NZ,1,78,168.86,-46.19,24.06,2.62
9,2018-09-06 06:00:00,Georgetown,3378644,75,GY,1,70,-58.16,6.8,87.8,4.7
10,2018-09-06 06:07:00,Kodiak,4407665,90,US,1,100,-94.76,39.95,69.08,8.05
11,2018-09-06 06:30:15,Saint-Georges,6295855,88,CA,1,83,-70.67,46.12,66.36,6.2
12,2018-09-06 06:00:00,Ushuaia,3833367,75,AR,1,100,-68.31,-54.81,44.6,17.22
13,2018-09-06 06:30:17,Kadoma,889453,64,ZW,1,27,29.91,-18.34,84.0,8.66
14,2018-09-06 06:30:18,Dikson,1507390,88,RU,1,99,80.55,73.51,40.8,20.29
15,2018-09-06 06:30:18,Lebu,344979,12,ET,1,90,38.73,8.96,60.33,3.85
16,2018-09-06 05:04:00,Bowen,2174444,75,AU,1,88,148.25,-20.01,66.2,5.82
17,2018-09-06 06:00:00,Alofi,4036284,12,NU,1,88,-169.92,-19.06,71.6,6.93
18,2018-09-06 06:30:20,Garhi Khairo,1178858,0,PK,1,57,67.98,28.06,87.15,7.43
19,2018-09-06 05:00:00,Yellowknife,6185377,20,CA,1,86,-114.38,62.45,37.4,4.7
20,2018-09-06 05:00:00,Tuktoyaktuk,6170031,90,CA,1,100,-133.03,69.44,42.8,6.93
21,2018-09-06 06:30:22,Khatanga,2022572,68,RU,1,72,102.47,71.98,36.21,16.71
22,2018-09-06 06:00:00,Cape Town,3369157,20,ZA,1,66,18.42,-33.93,53.6,10.29
23,2018-09-06 06:30:23,Sur,286245,0,OM,1,85,59.53,22.57,85.44,9.78
24,2018-09-06 06:30:24,Cherskiy,2126199,100,RU,1,63,161.3,68.75,53.76,6.98
25,2018-09-06 06:30:24,Tuatapere,2180815,0,NZ,1,100,167.69,-46.13,39.36,3.06
26,2018-09-06 05:45:00,Pochutla,3517970,90,MX,1,83,-96.47,15.74,78.8,1.61
27,2018-09-06 06:30:25,Rikitea,4030556,88,PF,1,100,-134.97,-23.12,72.57,27.78
28,2018-09-06 06:30:26,Lavrentiya,4031637,20,RU,1,88,-170.99,65.58,48.36,5.64
29,2018-09-06 06:30:26,Ponta do Sol,3453439,0,BR,1,36,-46.0,-20.63,78.06,8.32
30,2018-09-06 06:30:27,Cayhagan,1717550,64,PH,1,100,122.43,9.67,79.95,17.49
31,2018-09-06 06:00:00,Avarua,4035715,75,CK,1,68,-159.78,-21.21,71.6,12.75
32,2018-09-06 06:30:29,Presidente Olegario,3452327,0,BR,1,53,-46.42,-18.42,77.34,12.01
33,2018-09-06 06:30:29,Gamba,1281256,12,CN,1,92,88.52,28.28,32.16,3.18
34,2018-09-06 06:00:00,Camacha,2270385,20,PT,1,60,-16.33,33.08,77.0,12.75
35,2018-09-06 06:00:00,Phalaborwa,965528,0,ZA,1,29,31.14,-23.95,91.4,8.05
36,2018-09-06 06:15:00,Saint-Philippe,6138908,90,CA,1,78,-73.48,45.36,72.86,8.05
37,2018-09-06 06:30:32,Busselton,2075265,92,AU,1,100,115.35,-33.64,58.44,22.53
38,2018-09-06 06:30:33,Jalu,86049,0,LY,1,21,21.55,29.03,100.02,8.99
39,2018-09-06 06:30:34,Sao Filipe,3374210,36,CV,1,93,-24.5,14.9,81.57,5.41
40,2018-09-06 06:30:34,Jamestown,2069194,0,AU,1,88,138.6,-33.21,37.92,5.19
41,2018-09-06 06:30:35,Bull Savanna,3491161,64,JM,1,77,-77.59,17.89,82.2,6.98
42,2018-09-06 06:00:00,Cascais,2269594,75,PT,1,82,-9.42,38.7,73.4,4.7
43,2018-09-06 06:30:37,Kruisfontein,986717,92,ZA,1,100,24.73,-34.0,50.25,8.88
44,2018-09-06 06:30:40,Bluff,2175403,0,AU,1,83,149.07,-23.58,62.04,9.66
45,2018-09-06 06:30:41,Dingle,1714733,92,PH,1,99,122.67,11.0,75.0,12.12
46,2018-09-06 06:30:41,Paamiut,3421193,88,GL,1,99,-49.67,61.99,41.34,6.87
47,2018-09-06 06:00:00,Esperance,3573739,75,TT,1,74,-61.45,10.24,87.8,8.05
48,2018-09-06 05:56:00,Hilo,5855927,75,US,1,81,-155.08,19.71,77.0,10.29
49,2018-09-06 06:30:43,Kavieng,2094342,44,PG,2,100,150.8,-2.57,82.2,7.76
50,2018-09-06 06:00:00,Hofn,2630299,75,IS,2,81,-15.21,64.25,50.0,10.29
51,2018-09-06 05:00:00,Pangnirtung,6096551,20,CA,2,50,-65.72,66.15,51.8,4.7
52,2018-09-06 06:30:45,Xinxiang,1788572,0,CN,2,41,113.88,35.3,67.35,7.76
53,2018-09-06 06:30:46,Atuona,4020109,92,PF,2,100,-139.03,-9.8,77.16,14.47
