,analysis date,city,cityid,cloudiness,country,groupingid,humidity,lat,long,max temp,wind speed
0,2018-09-09 12:48:46,Fare,4034496,20,PF,1,100,-16.7,-151.02,76.6,6.51
1,2018-09-09 12:00:00,Yellowknife,6185377,20,CA,1,49,62.45,-114.38,48.2,4.7
2,2018-09-09 12:00:00,Thompson,6165406,90,CA,1,87,55.74,-97.86,57.2,6.93
3,2018-09-09 12:48:47,Verkhnyaya Toyma,474470,0,RU,1,86,62.24,45.0,36.37,2.59
4,2018-09-09 12:30:00,Souillac,3026644,0,FR,1,83,45.6,-0.6,69.8,5.82
5,2018-09-09 12:44:13,Faanui,4034551,36,PF,1,100,-16.48,-151.75,77.41,7.18
6,2018-09-09 12:45:14,Port Alfred,964432,76,ZA,1,100,-33.59,26.89,56.26,9.64
7,2018-09-09 11:50:00,Tasiilaq,3424607,92,GL,1,87,65.61,-37.64,42.8,9.17
8,2018-09-09 12:15:00,Marion,4120524,90,US,1,86,35.21,-90.2,69.08,9.17
9,2018-09-09 12:44:13,Rikitea,4030556,56,PF,1,100,-23.12,-134.97,72.28,13.22
10,2018-09-09 12:00:00,Ushuaia,3833367,40,AR,1,49,-54.81,-68.31,48.2,6.93
11,2018-09-09 12:44:26,Mataura,6201424,92,NZ,1,96,-46.19,168.86,43.21,4.16
12,2018-09-09 12:46:04,Dingle,1714733,24,PH,1,91,11.0,122.67,72.19,2.59
13,2018-09-09 12:44:56,Hithadhoo,1282256,100,MV,1,100,-0.6,73.08,83.17,10.54
14,2018-09-09 12:45:46,Kaitangata,2208248,76,NZ,1,94,-46.28,169.85,42.4,5.84
15,2018-09-09 11:57:54,Tiksi,2015306,92,RU,1,100,71.64,128.87,35.38,15.01
16,2018-09-09 11:57:43,Atuona,4020109,68,PF,1,100,-9.8,-139.03,78.04,16.02
17,2018-09-09 12:00:00,Arraial do Cabo,3471451,0,BR,1,60,-22.97,-42.02,73.4,3.36
18,2018-09-09 12:46:56,Taltal,3870243,0,CL,1,68,-25.41,-70.49,67.96,3.27
19,2018-09-09 12:48:53,La Entrada,3607986,48,HN,1,86,15.06,-88.75,75.52,0.47
20,2018-09-09 12:00:00,Puerto Ayora,3652764,20,EC,1,61,-0.74,-90.35,78.8,21.92
21,2018-09-09 12:00:00,Torbay,6167817,75,CA,1,76,47.66,-52.73,53.6,6.93
22,2018-09-09 12:44:25,Qaanaaq,3831208,0,GL,1,100,77.48,-69.36,29.26,7.18
23,2018-09-09 12:00:00,Ubatuba,3445847,0,BR,1,68,-23.43,-45.08,69.8,13.87
24,2018-09-09 12:00:00,San Quintin,1688687,20,PH,1,100,17.54,120.52,75.2,2.24
25,2018-09-09 12:00:00,Cayenne,3382160,0,GF,1,66,4.94,-52.33,86.0,8.05
26,2018-09-09 12:00:00,Cape Town,3369157,0,ZA,1,87,-33.93,18.42,51.8,5.82
27,2018-09-09 12:48:57,Vanimo,2084442,92,PG,1,100,-2.67,141.3,75.88,1.7
28,2018-09-09 12:44:24,Bluff,2175403,0,AU,1,42,-23.58,149.07,52.03,8.52
29,2018-09-09 12:44:17,Busselton,2075265,64,AU,1,98,-33.64,115.35,61.21,19.6
30,2018-09-09 11:53:00,Kodiak,4407665,20,US,1,58,39.95,-94.76,75.92,9.17
31,2018-09-09 12:48:58,Wewak,2083537,92,PG,1,100,-3.55,143.63,71.74,1.7
32,2018-09-09 12:00:00,Astana,1526273,0,KZ,1,62,51.13,71.43,57.2,11.18
33,2018-09-09 12:00:00,Anadyr,2127202,0,RU,1,77,64.73,177.51,64.4,2.24
34,2018-09-09 11:54:00,Albany,5106834,90,US,1,62,42.65,-73.75,60.98,6.93
35,2018-09-09 12:47:46,Chimbote,3698304,8,PE,1,84,-9.08,-78.59,65.89,6.62
36,2018-09-09 12:00:00,Bredasdorp,1015776,12,ZA,1,87,-34.53,20.04,44.6,3.36
37,2018-09-09 12:20:00,Tukums,454768,20,LV,1,100,56.97,23.17,53.6,2.24
38,2018-09-09 12:12:00,Hasaki,2112802,75,JP,1,100,35.73,140.83,75.2,3.36
39,2018-09-09 12:30:00,Bereda,3105522,0,ES,1,88,43.27,-7.54,62.6,1.12
40,2018-09-09 11:50:00,Mehamn,778707,0,NO,1,93,71.03,27.85,46.4,4.7
41,2018-09-09 12:49:03,Shieli,1524801,0,KZ,1,66,44.18,66.74,55.72,8.75
42,2018-09-09 12:49:04,Sompeta,1255816,92,IN,1,95,18.93,84.6,73.9,3.6
43,2018-09-09 12:45:32,Karratha,6620339,0,AU,1,81,-20.74,116.85,60.4,10.54
44,2018-09-09 11:58:13,Barrow,3833859,92,AR,1,34,-38.31,-60.23,57.88,10.42
45,2018-09-09 12:49:05,Pau dos Ferros,3403209,20,BR,1,32,-6.11,-38.21,88.39,4.72
46,2018-09-09 12:49:05,Haicheng,2037086,0,CN,1,80,40.85,122.74,42.13,3.38
47,2018-09-09 11:45:00,Ixtapa,4004293,75,MX,1,70,20.71,-105.21,89.6,8.05
48,2018-09-09 11:54:18,Chokurdakh,2126123,56,RU,1,94,70.62,147.9,43.03,11.32
49,2018-09-09 12:00:00,Cap-aux-Meules,5915327,20,CA,2,50,47.38,-61.86,57.2,12.75
50,2018-09-09 12:47:21,Meulaboh,1214488,92,ID,2,100,4.14,96.13,76.06,4.38
51,2018-09-09 11:30:00,New Norfolk,2155415,75,AU,2,57,-42.78,147.06,51.8,11.41
52,2018-09-09 12:49:08,Luzhou,1801640,100,CN,2,72,28.89,105.45,66.97,5.39
53,2018-09-09 12:44:22,Khatanga,2022572,80,RU,2,84,71.98,102.47,34.66,3.15
54,2018-09-09 12:44:34,Jamestown,2069194,0,AU,2,74,-33.21,138.6,36.91,3.71
55,2018-09-09 12:00:00,Aklavik,5882953,75,CA,2,70,68.22,-135.01,46.4,12.75
56,2018-09-09 12:49:09,Dongsheng,1788268,80,CN,2,71,29.72,112.52,66.88,4.72
57,2018-09-09 11:57:48,Hermanus,3366880,0,ZA,2,94,-34.42,19.24,37.09,3.6
58,2018-09-09 12:44:33,Ponta do Sol,3453439,0,BR,2,39,-20.63,-46.0,73.99,2.71
59,2018-09-09 12:44:31,Luderitz,3355672,0,NA,2,64,-26.65,15.16,56.62,5.73
60,2018-09-09 12:44:37,Butaritari,2110227,88,KI,2,100,3.07,172.79,79.66,9.19
61,2018-09-09 12:49:11,Maningrida,2067089,0,AU,2,82,-12.05,134.23,71.02,12.44
62,2018-09-09 12:45:17,Severo-Kurilsk,2121385,88,RU,2,100,50.68,156.12,50.41,4.5
63,2018-09-09 11:56:00,Lake Havasu City,5301388,1,US,2,15,34.47,-114.34,109.04,11.41
64,2018-09-09 12:49:13,Vysokogornyy,2013216,48,RU,2,54,50.1,139.13,36.46,7.63
65,2018-09-09 12:00:00,Punta Arenas,3874787,0,CL,2,45,-53.16,-70.91,48.2,10.29
66,2018-09-09 12:49:14,Ambunti,2100933,92,PG,2,100,-4.22,142.82,71.92,2.15
67,2018-09-09 11:53:00,Indianola,5697383,90,US,2,63,40.24,-100.42,73.04,8.05
68,2018-09-09 11:00:00,Tuktoyaktuk,6170031,90,CA,2,86,69.44,-133.03,41.0,19.46
69,2018-09-09 10:56:00,Hilo,5855927,1,US,2,72,19.71,-155.08,82.94,10.29
70,2018-09-09 11:30:00,Hobart,2163355,75,AU,2,57,-42.88,147.33,51.8,11.41
71,2018-09-09 12:47:09,Te Anau,2181625,92,NZ,2,99,-45.41,167.72,39.79,2.93
72,2018-09-09 12:44:31,Marsh Harbour,3571913,76,BS,2,100,26.54,-77.06,83.71,9.08
73,2018-09-09 12:49:17,Baguinge,1728936,12,PH,2,92,16.78,121.11,63.64,1.7
74,2018-09-09 12:00:00,Bonfim,3451126,0,BR,2,25,-20.33,-44.24,77.0,5.82
75,2018-09-09 12:49:18,Marzuq,72181,0,YE,2,42,14.4,46.47,65.8,1.92
